area_name,BN_E,BNG_N,LONG,Lat,shape_area,shape_length
City of London,532382,181358,"-0,093510","51,515,598","3,146,884,226,334","9,644,099,584"
Kensington and Chelsea,525756,179054,"-0,189780","51,496,399","12,385,949,906,219","21,064,900,627"
Islington,531160,184645,"-0,109890","51,545,502","14,858,041,711,609","20,747,740,082"
Hammersmith and Fulham,523867,177993,"-0,217350","51,487,301","17,157,594,327,255","23,948,135,157"
Hackney,534560,185787,"-0,060450","51,554,901","19,043,878,119,591","25,441,840,602"
Tower Hamlets,536340,181452,"-0,036470","51,515,499","21,576,909,398,987","26,818,200,899"
Camden,527491,184283,"-0,162910","51,542,999","21,778,578,404,045","26,245,775,964"
Westminster,528268,180871,"-0,152950","51,512,199","22,037,785,974,472","27,258,565,014"
Lambeth,531118,175629,"-0,113850","51,464,500","27,237,589,999,687","34,223,119,753"
Haringey,531260,189349,"-0,106700","51,587,700","29,606,188,765,167","29,085,508,959"
Southwark,533945,175869,"-0,073080","51,465,900","29,923,089,196,022","33,659,716,309"
Wandsworth,525152,174138,"-0,200210","51,452,400","35,216,031,570,549","37,444,312,286"
Lewisham,537888,173343,"-0,017340","51,442,299","35,313,983,089,355","41,053,322,439"
Kingston upon Thames,519508,167389,"-0,283670","51,393,002","37,254,441,924,309","37,623,502,967"
Merton,526068,169508,"-0,188680","51,410,599","37,624,038,405,647","32,439,937,851"
Barking and Dagenham,547757,185111,"0,129479","51,545,601","37,781,838,305,878","37,093,086,398"
Newham,540713,183346,"0,027261","51,531,502","38,575,818,973,312","31,815,618,192"
Waltham Forest,537328,190278,"-0,018800","51,594,601","38,810,231,826,790","33,346,583,215"
Brent,519615,186465,"-0,275680","51,564,400","43,236,365,638,702","38,441,556,644"
Sutton,527357,163639,"-0,172260","51,357,601","43,846,389,290,489","39,931,559,198"
Greenwich,542507,175878,"0,050093","51,463,902","50,446,926,124,069","45,550,170,112"
Harrow,515359,189736,"-0,335980","51,594,700","50,464,270,395,317","33,811,791,287"
Ealing,517055,181959,"-0,314100","51,524,399","55,542,068,065,796","47,461,828,972"
Redbridge,543512,189477,"0,070085","51,585,899","56,433,002,203,300","45,914,348,126"
Hounslow,512737,174959,"-0,378550","51,462,399","56,589,028,435,799","57,738,385,928"
Richmond upon Thames,519005,172650,"-0,289140","51,440,300","58,741,149,326,454","52,476,678,816"
Bexley,549202,175434,"0,146212","51,458,199","64,309,526,634,003","43,465,142,225"
Enfield,532831,196198,"-0,081440","51,648,899","82,169,741,755,760","41,084,792,550"
Croydon,533922,164745,"-0,077610","51,366,001","86,466,112,514,458","58,749,969,681"
Barnet,523473,191752,"-0,218190","51,611,099","86,767,035,294,785","50,941,260,393"
Havering,555032,187514,"0,235368","51,565,201","114,449,271,295,311","63,950,051,319"
Hillingdon,508168,183121,"-0,441790","51,536,598","115,708,043,012,039","63,970,368,436"
Bromley,542036,165707,"0,039246","51,372,700","150,126,941,207,382","76,229,210,868"