date,annual_rate
01/01/2016,0.6
01/02/2016,0.6
01/03/2016,0.8
01/04/2016,0.7
01/05/2016,0.7
01/06/2016,0.8
01/07/2016,0.9
01/08/2016,1
01/09/2016,1.3
01/10/2016,1.3
01/11/2016,1.5
01/12/2016,1.8
01/01/2017,1.9
01/02/2017,2.3
01/03/2017,2.3
01/04/2017,2.6
01/05/2017,2.7
01/06/2017,2.6
01/07/2017,2.6
01/08/2017,2.7
01/09/2017,2.8
01/10/2017,2.8
01/11/2017,2.8
01/12/2017,2.7
01/01/2018,2.7
01/02/2018,2.5
01/03/2018,2.3
01/04/2018,2.2
01/05/2018,2.3
01/06/2018,2.3
01/07/2018,2.3
01/08/2018,2.4
01/09/2018,2.2
01/10/2018,2.2
01/11/2018,2.2
01/12/2018,2
01/01/2019,1.8
01/02/2019,1.8
01/03/2019,1.8
01/04/2019,2
01/05/2019,1.9
01/06/2019,1.9
01/07/2019,2
01/08/2019,1.7
01/09/2019,1.7
01/10/2019,1.5
01/11/2019,1.5
01/12/2019,1.4
01/01/2020,1.8
01/02/2020,1.7
01/03/2020,1.5
01/04/2020,0.9
01/05/2020,0.7
01/06/2020,0.8
01/07/2020,1.1
01/08/2020,0.5
01/09/2020,0.7
01/10/2020,0.9
01/11/2020,0.6
01/12/2020,0.8
01/01/2021,0.9
01/02/2021,0.7
01/03/2021,1
01/04/2021,1.6
01/05/2021,2.1
01/06/2021,2.4
01/07/2021,2.1
01/08/2021,3
01/09/2021,2.9
01/10/2021,3.8
01/11/2021,4.6
01/12/2021,4.8
01/01/2022,4.9
01/02/2022,5.5
01/03/2022,6.2
01/04/2022,7.8
01/05/2022,7.9
01/06/2022,8.2
01/07/2022,8.8
01/08/2022,8.6
01/09/2022,8.8
01/10/2022,9.6
01/11/2022,9.3
01/12/2022,9.2
01/01/2023,8.8
01/02/2023,9.2
01/03/2023,8.9
01/04/2023,7.8
01/05/2023,7.9
01/06/2023,7.3
01/07/2023,6.4
01/08/2023,6.3
01/09/2023,6.3
01/10/2023,4.7
01/11/2023,4.2
01/12/2023,4.2
01/01/2024,4.2
01/02/2024,3.8
01/03/2024,3.8
01/04/2024,3
01/05/2024,2.8
01/06/2024,2.8
01/07/2024,3.1
01/08/2024,3.1
01/09/2024,2.6
01/10/2024,3.2
01/11/2024,3.5
01/12/2024,3.5
01/01/2025,3.9
01/02/2025,3.7
01/03/2025,3.4
01/04/2025,4.1
01/05/2025,4
01/06/2025,4.1
01/07/2025,4.2
01/08/2025,4.1
01/09/2025,4.1